Наименование;Цвет;Изображение;Размеры;Цена;Описание
"120221034 Платье трикотажное для девочек -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120221034/original/120221034_00.jpg;122, 98, 116, 110, 104;560;:Платье из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму накладные декоративные карманы 95% хлопок, 5% эластан
"120221057 Платье трикотажное для девочек -цвет черный;серый";;https://playtoday.ru/upload/1c/new_struct/deti/120221057/original/120221057_01.jpg;98, 122, 110, 104, 116;840;":Нарядное платье верх из буклированной ткани трикотажный подьюбник верх из сетки зафиксированное на груди съемное украшение застегивается на молнию Верх: 75% полиэстер, 22% хлопок, 3% эластан; Подкладка: 100% хлопок"
"120221006 Кардиган трикотажный для девочек -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/raskladka/120221006/original/120221006_04.jpg;110, 116, 122, 104, 98;910;:Кардиган из уютного вязаного трикотажа горловина, манжеты и нижняя кромка в эластичный рубчик застегивается на пуговицы по низу баска 50% вискоза, 50% нейлон
"120221016 Комплект трикотажный для девочек: туника, брюки (леггинсы) -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120221016/original/120221016_2.jpg;116, 122, 110, 98, 104;860;:Комплект туника и леггинсы из качественного эластичного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок декор: пришитые сердечки по поясу 95% хлопок, 5% эластан
"120221905 Комплект трикотажный для девочек: фуфайка (футболка), брюки (легинсы) -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120221905/original/120221905_2.jpg;98, 122, 116, 104, 110;648;:Комплект из футболки и леггинсов из качественного эластичного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок 95% хлопок, 5% эластан
"120221024 Фуфайка трикотажная для девочек (футболка с длинным рукавом) -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120221024/original/120221024_02.jpg;98, 110, 116, 122, 104;560;:Лонгслив из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму горловина в эластичный рубчик баска с сеткой 95% хлопок, 5% эластан
120221025 Фуфайка трикотажная для девочек (футболка с длинным рукавом) -цвет белый;;https://playtoday.ru/upload/1c/new_struct/deti/120221025/original/120221025_00.jpg;98, 104, 122, 110, 116;370;:Лонгслив из качественного и приятного на ощупь трикотажа высокое содержание хлопка благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт с блестками сохраняет первоначальный вид даже после многочисленных стирок 95% хлопок, 5% эластан
120221026 Фуфайка трикотажная для девочек (футболка с длинным рукавом) -цвет серый;;https://playtoday.ru/upload/1c/new_struct/deti/120221026/original/120221026_00.jpg;98, 104, 110, 116, 122;370;:Лонгслив из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт с блестками и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок 95% хлопок, 5% эластан
120221027 Фуфайка трикотажная для девочек (футболка) -цвет розовый;;https://playtoday.ru/upload/1c/new_struct/deti/120221027/original/120221027_1.jpg;122, 110, 104, 116, 98;360;:Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт с блестками и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок 95% хлопок, 5% эластан
"120221028 Фуфайка трикотажная для девочек (футболка с длинным рукавом) -цвет черный;белый";;https://playtoday.ru/upload/1c/new_struct/deti/120221028/original/120221028_1.jpg;110, 122, 116, 104, 98;432;:Лонгслив из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок воланы по рукавам 95% хлопок, 5% эластан
120221030 Фуфайка трикотажная для девочек (футболка с длинным рукавом) -цвет белый;;https://playtoday.ru/upload/1c/new_struct/deti/120221030/original/120221030_01.jpg;110, 116, 98, 104, 122;453;:Лонгслив из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму баска на спинке 95% хлопок, 5% эластан
120221032 Фуфайка трикотажная для девочек (футболка) -цвет белый;;https://playtoday.ru/upload/1c/new_struct/deti/120221032/original/120221032_01.jpg;110, 116, 98, 122, 104;360;:Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт с блестками и сохраняют первоначальный вид даже после многочисленных стирок перед и спинка разной длины 95% хлопок, 5% эластан
"120221901 Фуфайка трикотажная для девочек (футболка с длинным рукавом) -цвет белый;серый";;https://playtoday.ru/upload/1c/new_struct/deti/120221901/original/120221901_1.jpg;110, 98, 122, 116, 104;554;":Лонгслив из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок сверху сетка с баской Верх: 95% хлопок, 5% эластан; Отделка: 100% полиэстер"
"120221902 Фуфайка трикотажная для девочек (футболка с длинным рукавом) -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120221902/original/120221902_00.jpg;122, 98, 110, 104, 116;430;:Лонгслив из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт с блестками сохраняет первоначальный вид даже после многочисленных стирок воланы по рукавам 95% хлопок, 5% эластан
120221903 Фуфайка трикотажная для девочек (футболка) -цвет белый;;https://playtoday.ru/upload/1c/new_struct/deti/120221903/original/120221903_1.jpg;110, 98, 116, 122, 104;410;:Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму горловина в эластичный рубчик перед и спинка разной длины принт с пайетками и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок 95% хлопок, 5% эластан
120221906 Фуфайка трикотажная для девочек (футболка) -цвет белый;;https://playtoday.ru/upload/1c/new_struct/deti/120221906/original/120221906_1.jpg;122, 110, 116, 104, 98;315;:Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок 95% хлопок, 5% эластан
120227637 Шапка трикотажная для девочек -цвет черный;;https://playtoday.ru/upload/1c/new_struct/deti/120227637/original/120227637_1.jpg;50, 52;370;:Шапка из вязаного трикотажа, эластичная резинка по краю. Модель украшают приклеенные стразы. Высокое содержание хлопка в составе нити. 60% хлопок, 40% акрил
"120227638 Комплект трикотажный для девочек: шапка, перчатки -цвет черный;белый";;https://playtoday.ru/upload/1c/new_struct/deti/120227638/original/120227638_1.jpg;50, 52;565;":Шапка из вязаного трикотажа, перчатки эластичная резинка по краю утеплена флисом модель украшает помпон из искуственного меха и бант  высокое содержание хлопка в составе нити Верх: 60% хлопок, 40% акрил; Подкладка: 100% полиэстер"
120227642 Перчатки трикотажные для девочек -цвет черный;;https://playtoday.ru/upload/1c/new_struct/raskladka/120227642/original/120227642_04.jpg;14-15, 13-14;210;:Перчатки для девочек из вязаного трикотажа, манжет - эластичная резинка. Высокое содержание хлопка в составе нити. Декор - стразы. 60% хлопок, 38% акрил, 2% эластан
120227653 Берет трикотажный для девочек -цвет светло-розовый;;https://playtoday.ru/upload/1c/new_struct/deti/120227653/original/120227653_1.jpg;52, 50;370;:Нежно-розовый берет классического силуэта с высоким содержанием хлопка. Модель лаконичного дизайна дополнит любой образ. Высокое содержание хлопка в составе нити. 60% хлопок, 35% акрил, 5% люрекс
"120221045 Носки трикотажные для девочек, 2 пары в комплекте -цвет черный;белый";;https://playtoday.ru/upload/1c/new_struct/raskladka/120221045/original/120221045_01.jpg;20, 16, 18;154;: 75% хлопок, 20% нейлон, 5% эластан
"120221047 Колготки трикотажные для девочек, 2 пары в комплекте -цвет черный;белый";;https://playtoday.ru/upload/1c/new_struct/raskladka/120221047/original/120221047_01.jpg;20, 16, 18;440;: 75% хлопок, 20% нейлон, 5% эластан
"120221048 Колготки трикотажные для девочек -цвет черный;белый";;https://playtoday.ru/upload/1c/new_struct/deti/120221048/original/120221048_1.jpg;20, 18, 16;220;: 75% хлопок, 20% нейлон, 5% эластан
"120221050 Гольфы трикотажные для девочек, 2 пары в комплекте -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120221050/original/120221050_1.jpg;18, 20, 16;175;: 75% хлопок, 20% нейлон, 5% эластан
"120221054 Колготки трикотажные для девочек, 2 пары в комплекте -цвет белый;светло-розовый";;https://playtoday.ru/upload/1c/new_struct/raskladka/120221054/original/120221054_01.jpg;20, 18, 16;440;: 75% хлопок, 20% нейлон, 5% эластан
"120127602 Куртка текстильная для девочек -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120127602/original/120127602_1.jpg;128, 134, 140, 146, 152;1900;":Куртка демисезонная PlayToday со следующими характеристиками: легкий вес материал с ветро- и водоотталкивающим покрытием  гладкая подкладка из полиэстера утеплитель 200г/м2 несъёмный капюшон, регулируемый с помощью шнурка со стопперами, со съемной опушкой 2 боковых кармана  дополнительный внутренний манжет в рубчик внешняя ветрозащитная планка на липучках внутренняя ветрозащитная планка c дополнительной саржевой лентой для легкого застегивания молнии, защита подбородка при застегивании светоотражающие элементы для дополнительной безопасности в темное время суток внутренняя этикетка с местом для имени и номером телефона родителей Верх: 100% полиэстер; Подкладка: 100% полиэстер; Наполнитель: 100% полиэстер, 200 г"
120127655 Куртка текстильная для девочек -цвет розовый;;https://playtoday.ru/upload/1c/new_struct/raskladka/120127655/original/120127655_02.jpg;128, 134, 140, 146, 152;1360;":Куртка демисезонная PlayToday со следующими характеристиками: легкий вес материал с ветро- и водоотталкивающим покрытием  гладкая подкладка из полиэстера утеплитель 150г/м2 спереди функциональные карманы эластичные манжеты на рукавах  внутренняя ветрозащитная планка c дополнительной саржевой лентой для легкого застегивания молнии светоотражающие элементы для дополнительной безопасности в темное время суток декор: лента с камнями, оборка на спинке Верх: 100% нейлон; Подкладка: 100% полиэстер; Наполнитель: 100% полиэстер, 150 г/м2"
