Наименование;Цвет;Изображение;Размеры;Цена;Описание
"220221903 Фуфайка трикотажная для девочек (футболка) -цвет белый;темно-синий";;https://playtoday.ru/upload/1c/new_struct/raskladka/220221903/original/220221903_01.jpg;122, 116, 98, 104, 110;430;:Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму акцентно объемный принт с глиттером сохраняет 95% хлопок, 5% эластан
220221907 Майка трикотажная для девочек -цвет белый;;https://playtoday.ru/upload/1c/new_struct/raskladka/220221907/original/220221907_01.jpg;116, 98, 104, 110, 122;490;:Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму тактильный принт, акцентно объемный, с глиттером оборки по линии рукава 95% хлопок, 5% эластан
"220221040 Бандана трикотажная для девочек -цвет белый;темно-синий";;https://playtoday.ru/upload/1c/new_struct/raskladka/220221040/original/220221040_01.jpg;50-52;230;:Бандана для девочек в полоску 95% хлопок, 5% эластан. Эластичная резинка и завязки комфортно удерживают бандану на голове. 95% хлопок, 5% эластан
"220221027 Бандана трикотажная для девочек, 2 шт. в комплекте -цвет красный;белый";;https://playtoday.ru/upload/1c/new_struct/raskladka/220221027/original/220221027_01.jpg;50-52;360;:Бандана для девочек в двух цветах 95% хлопок, 5% эластан. Эластичная резинка и завязки комфортно удерживают бандану на голове. 95% хлопок, 5% эластан
"220221035 Носки трикотажные для девочек, 2 пары в комплекте -цвет темно-синий;белый";;https://playtoday.ru/upload/1c/new_struct/raskladka/220221035/original/220221035_01.jpg;18, 16, 20;154;: 75% хлопок, 20% нейлон, 5% эластан
"220221036 Носки трикотажные для девочек, 2 пары в комплекте -цвет белый;темно-синий";;https://playtoday.ru/upload/1c/new_struct/raskladka/220221036/original/220221036_03.jpg;16, 20, 18;154;: 75% хлопок, 20% нейлон, 5% эластан
394075 Полукомбинезон текстильный джинсовый утепленный для девочек -цвет синий;;https://playtoday.ru/upload/1c/new_struct/deti/394075/original/394075_01.jpg;146;990;:Комбинезон джинсовый с легким начесом внутри. Регулируемые лямки, 6 карманов. Модель декорирована потертостями и дополнена очаровательным брелоком. 68% хлопок, 30% полиэстер, 2% эластан
"220121000 Брюки трикотажные для девочек (леггинсы) -цвет синий;белый";;https://playtoday.ru/upload/1c/new_struct/raskladka/220121000/original/220121000_01.jpg;152, 140, 134, 146, 128;540;:Брюки-кюлоты трикотажные в полоску эластичный пояс с кулиской позволяет легко надевать брюки и утягивать до комфортной посадки 95% хлопок, 5% эластан
"220121002 Брюки трикотажные для девочек (леггинсы) 2 шт. в комплекте -цвет белый;синий";;https://playtoday.ru/upload/1c/new_struct/raskladka/220121002/original/220121002_00.jpg;152, 146, 128, 140, 134;554;:Леггинсы из качественного эластичного и приятного трикотажа 2 шт. резинка на талии цвет изделия сохраняет первоначальный вид даже после многочисленных стирок 95% хлопок, 5% эластан
220126036 Брюки текстильные джинсовые для девочек -цвет голубой;;https://playtoday.ru/upload/1c/new_struct/raskladka/220126036/original/220126036_04.jpg;128, 152, 146, 134, 140;1190;":Джинсы из сверхудобного эластичного материала Loop Denim Loop Denim имеет внешний вид премиальной джинсы, а по тактильным ощущениям мягкий и комфортный, как трикотаж модель с высокой посадкой, благодаря которой брюки не ""сползают"" во время активности ребенка комфортная посадка за счет внутренней утяжки молния и кнопка функциональные карманы 67% хлопок, 32% полиэстер, 1% эластан"
220121014 Шорты трикотажные для девочек -цвет красный;;https://playtoday.ru/upload/1c/new_struct/raskladka/220121014/original/220121014_03.jpg;152, 128, 140, 146, 134;340;:Шорты трикотажные эластичный пояс с кулиской позволяет легко надевать шорты и утягивать до комфортной посадки в зависимости от комплекции ребенка цвет изделия сохраняет первоначальный вид даже после многочисленных стирок 95% хлопок, 5% эластан
220121027 Шорты трикотажные для девочек -цвет белый;;https://playtoday.ru/upload/1c/new_struct/raskladka/220121027/original/220121027_02.jpg;134, 128, 140, 152, 146;490;:Шорты трикотажные  эластичный пояс с кулиской позволяет легко надевать шорты и утягивать до комфортной посадки в зависимости от комплекции ребенка функциональные карманы 95% хлопок, 5% эластан
220121029 Шорты трикотажные для девочек -цвет темно-синий;;https://playtoday.ru/upload/1c/new_struct/raskladka/220121029/original/220121029_03.jpg;128, 134, 146, 152, 140;380;:Шорты трикотажные эластичный пояс с кулиской позволяет легко надевать шорты и утягивать до комфортной посадки в зависимости от комплекции ребенка цвет изделия сохраняет первоначальный вид даже после многочисленных стирок 95% вискоза, 5% эластан
220126019 Шорты текстильные джинсовые для девочек -цвет голубой;;https://playtoday.ru/upload/1c/new_struct/raskladka/220126019/original/220126019_04.jpg;134, 152, 146, 140, 128;895;":Шорты из сверхудобного эластичного материала Loop Denim Loop Denim имеет внешний вид премиальной джинсы, а по тактильным ощущениям мягкий и комфортный, как трикотаж модель с высокой посадкой, благодаря которой брюки не ""сползают"" во время активности ребенка комфортная посадка за счет внутренней утяжки молния и кнопка функциональные карманы 67% хлопок, 32% полиэстер, 1% эластан"
"220121004 Платье трикотажное для девочек -цвет белый;синий";;https://playtoday.ru/upload/1c/new_struct/raskladka/220121004/original/220121004_01.jpg;140, 146, 128, 134, 152;650;:Платье из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму застегивается на пуговицу сзади Международной стандарт Oeko-Tex 100 95% хлопок, 5% эластан
"220121042 Комплект трикотажный для девочек: фуфайка (футболка), майка -цвет белый;темно-синий";;https://playtoday.ru/upload/1c/new_struct/raskladka/220121042/original/220121042_01.jpg;146, 140, 152, 128, 134;640;:Комплект: укороченная футболка и майка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму акцентно объемный принт с износостойким глиттером 95% хлопок, 5% эластан
"220121043 Комплект трикотажный для девочек: майка, юбка -цвет белый;темно-синий";;https://playtoday.ru/upload/1c/new_struct/raskladka/220121043/original/220121043_01.jpg;140, 146, 152, 134, 128;760;:Комплект майка и шорты из качественного эластичного и приятного на ощупь трикотажа эластичный пояс с кулиской позволяет легко надевать брюки и утягивать до комфортной посадки в зависимости от комплекции ребенка принт с глиттером и изделия сохраняют первоначальный вид даже после многочисленных стирок пришитый бантик в декоре 95% хлопок, 5% эластан
"220121961 Комплект трикотажный для девочек: фуфайка (футболка), брюки (легинсы) -цвет белый;красный";;https://playtoday.ru/upload/1c/new_struct/raskladka/220121961/original/220121961_00.jpg;128, 146, 134, 140, 152;790;:Комплект из футболки и укороченных леггинсов из качественного эластичного и приятного на ощупь трикотажа высокое содержание хлопка благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок 95% хлопок, 5% эластан
"220121056 Блузка текстильная для девочек -цвет белый;синий;красный";;https://playtoday.ru/upload/1c/new_struct/raskladka/220121056/original/220121056_01.jpg;152, 128, 134, 140, 146;655;:Блузка из 100% хлопка открытые плечи завязывающиеся лямки 100% хлопок
"220121020 Сарафан трикотажный для девочек -цвет белый;темно-синий";;https://playtoday.ru/upload/1c/new_struct/raskladka/220121020/original/220121020_01.jpg;146, 140, 152, 128, 134;560;:Сарафан из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму кулиска на поясе  принт с реверсивными двусторонними пайетками функциональные карманы 95% хлопок, 5% эластан
"220121021 Сарафан трикотажный для девочек -цвет белый;темно-синий";;https://playtoday.ru/upload/1c/new_struct/raskladka/220121021/original/220121021_01.jpg;140, 128, 134, 146, 152;720;:Сарафан в морском стиле верх из трикотажа застегивается на молнию на спине  текстильная отрезная юбка пришитое украшение морской звезды 95% хлопок, 5% эластан
"220121041 Сарафан текстильный для девочек -цвет белый;синий;красный";;https://playtoday.ru/upload/1c/new_struct/raskladka/220121041/original/220121041_04.jpg;152, 134, 128, 140, 146;795;:Платье из 100% хлопка открытые плечи рукав на резинке застегивается на пуговицу 100% хлопок
"220121001 Фуфайка трикотажная для девочек (футболка) -цвет белый;синий";;https://playtoday.ru/upload/1c/new_struct/raskladka/220121001/original/220121001_04.jpg;134, 146, 152, 140, 128;595;":Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму пришитая накидка создает эффект многослойности принт и стразы в декоре сохраняют первоначальный вид даже после многочисленных стирок Верх: 95% вискоза 5% эластан; Отделка: 95% хлопок 5% эластан"
220121003 Фуфайка трикотажная для девочек (футболка) -цвет белый;;https://playtoday.ru/upload/1c/new_struct/deti/220121003/original/220121003_00.jpg;140, 146, 128, 134, 152;510;:Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму тактильный акцентно объемный принт с блестками воланы по рукавам удлиненная спинка 95% хлопок, 5% эластан
220121006 Фуфайка трикотажная для девочек (футболка) -цвет белый;;https://playtoday.ru/upload/1c/new_struct/raskladka/220121006/original/220121006_04.jpg;152, 140, 146, 134, 128;440;:Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму акцентно объемный принт 95% хлопок, 5% эластан
"220121007 Фуфайка трикотажная для девочек (футболка) -цвет белый;синий";;https://playtoday.ru/upload/1c/new_struct/raskladka/220121007/original/220121007_01.jpg;134, 128, 140, 152, 146;490;:Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму открытая линия плеч 95% хлопок, 5% эластан
220121009 Фуфайка трикотажная для девочек (футболка с длинным рукавом) -цвет белый;;https://playtoday.ru/upload/1c/new_struct/raskladka/220121009/original/220121009_03.jpg;152, 140, 134, 128, 146;500;:Лонгслив из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт с пайетками функциональная пата на кнопке служит для регулирования длины рукава 95% хлопок, 5% эластан
220121017 Фуфайка трикотажная для девочек (футболка) -цвет темно-синий;;https://playtoday.ru/upload/1c/new_struct/raskladka/220121017/original/220121017_04.jpg;128, 134, 140, 146, 152;475;:Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму тактильный принт, акцентно объемный, с глиттером оборки по линии рукава спереди завязка 95% хлопок, 5% эластан
220121901 Фуфайка трикотажная для девочек (футболка) -цвет красный;;https://playtoday.ru/upload/1c/new_struct/raskladka/220121901/original/220121901_04.jpg;152, 146, 140, 134, 128;440;:Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму открытие плечи принт c глиттером и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок 95% хлопок, 5% эластан
"220121903 Фуфайка трикотажная для девочек (футболка) -цвет белый;темно-синий";;https://playtoday.ru/upload/1c/new_struct/raskladka/220121903/original/220121903_01.jpg;152, 140, 134, 128, 146;460;:Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму акцентно объемный принт с глиттером сохраняет 95% хлопок, 5% эластан
"220121035 Носки трикотажные для девочек, 2 пары в комплекте -цвет темно-синий;белый";;https://playtoday.ru/upload/1c/new_struct/raskladka/220121035/original/220121035_03.jpg;24, 22;154;: 75% хлопок, 20% нейлон, 5% эластан
"220121036 Носки трикотажные для девочек, 2 пары в комплекте -цвет белый;темно-синий";;https://playtoday.ru/upload/1c/new_struct/raskladka/220121036/original/220121036_03.jpg;22, 24;154;: 75% хлопок, 20% нейлон, 5% эластан
"220121048 Носки трикотажные для девочек, 2 пары в комплекте -цвет белый;красный";;https://playtoday.ru/upload/1c/new_struct/raskladka/220121048/original/220121048_03.jpg;22, 24;140;: 75% хлопок, 20% нейлон, 5% эластан
120225001 Куртка текстильная для девочек -цвет серебристый;;https://playtoday.ru/upload/1c/new_struct/deti/120225001/original/120225001_01.jpg;110, 98, 116, 122, 104;1470;":Куртка из материала с ветро- и водоотталкивающим покрытием  утеплитель 150г/м2 подкладка трикотажная с высоким содержанием хлопка, гладкая из полиэстера в рукавах внутренняя ветрозащитная планка c дополнительной саржевой лентой для легкого застегивания молнии несъёмный капюшон с эластичной окантовкой  2 боковых кармана  эластичный кант по нижней кромке и рукавам Верх: 100% полиуретан; Подкладка: 60% хлопок, 40% полиэстер; Утеплитель: 100% полиэстер 150г/м2"
"120225002 Куртка текстильная для девочек (ветровка) -цвет черный;светло-розовый";;https://playtoday.ru/upload/1c/new_struct/deti/120225002/original/120225002_00.jpg;116, 110, 98, 122, 104;1180;":Ветровка PlayToday со следующими характеристиками: материал с ветро- и водоотталкивающим покрытием  подкладка трикотажная с высоким содержанием хлопка, гладкая из полиэстера в рукавах несъёмный капюшон c мягкой трикотажной подкладкой внутренняя ветрозащитная планка c дополнительной саржевой лентой для легкого застегивания молнии эластичная окантовка на манжетах и нижней кромке  2 боковых кармана  светоотражающие элементы для дополнительной безопасности в темное время суток Верх: 100% полиэстер; Подкладка: 60% полиэстер, 40% хлопок"
120225020 Куртка текстильная для девочек -цвет фуксия;;https://playtoday.ru/upload/1c/new_struct/deti/120225020/original/120225020_00.jpg;116, 110, 98, 122, 104;1700;:Куртка из ветронепроницаемого материала softshell мягкий и эластичный материал softshell дарит ощущение комфорта внутри мягкий флис удлиненные рукава с прорезью для пальца капюшон и манжеты с эластичной окантовкой светоотражающая молния и детали ветрозащитная планка защита подбородка при застегивании молнии Верх: 100% полиэстер, Подкладка100% полиэстер
120225022 Куртка текстильная для девочек -цвет розовый перламутровый;;https://playtoday.ru/upload/1c/new_struct/deti/120225022/original/120225022_00.jpg;122, 104, 98, 116, 110;1470;":Куртка из материала с ветро- и водоотталкивающим покрытием  утеплитель 150г/м2 подкладка трикотажная с высоким содержанием хлопка, гладкая из полиэстера в рукавах внутренняя ветрозащитная планка c дополнительной саржевой лентой для легкого застегивания молнии несъёмный капюшон с эластичной окантовкой  2 боковых кармана  эластичный кант по нижней кромке и рукавам Верх: 100% полиуретан; Подкладка: 60% хлопок, 40% полиэстер; Утеплитель: 100% полиэстер 150г/м2"
120225009 Брюки трикотажные для девочек (леггинсы) -цвет серый;;https://playtoday.ru/upload/1c/new_struct/deti/120225009/original/120225009_00.jpg;104, 98, 122, 116, 110;390;:Леггинсы из качественного эластичного и приятного трикотажа металлизированный принтсохраняет первоначальный вид даже после многочисленных стирок 95% хлопок, 5% эластан
"120225017 Брюки трикотажные для девочек (леггинсы) -цвет темно-синий;светло-розовый";;https://playtoday.ru/upload/1c/new_struct/deti/120225017/original/120225017_00.jpg;122, 110, 104, 116, 98;460;":Леггинсы с юбкой по талии резинка с тканым принтом функциональные карманы резиновый принт 90% хлопок, 10% эластан; отделка: 80% нейлон, 20% эластан"
120225010 Бриджи трикотажные для девочек -цвет темно-синий;;https://playtoday.ru/upload/1c/new_struct/deti/120225010/original/120225010_01.jpg;122, 104, 110, 116, 98;320;:Леггинсы из качественного эластичного и приятного трикотажа принт с глиттером сохраняет первоначальный вид даже после многочисленных стирок 90% хлопок, 10% эластан
"120225011 Шорты трикотажные для девочек -цвет синий;серый";;https://playtoday.ru/upload/1c/new_struct/deti/120225011/original/120225011_03.jpg;122, 110, 98, 116, 104;420;:Шорты из качественного футера  мягкая фактура плетения на изнаночной стороне эластичный пояс с кулиской позволяет легко надевать шорты и утягивать до комфортной посадки в зависимости от комплекции ребенка цвет изделия сохраняет первоначальный вид даже после многочисленных стирок 60% хлопок, 38% полиэстер, 2% эластан
"120225003 Комплект трикотажный для девочек: толстовка, брюки -цвет светло-розовый;белый;темно-синий";;https://playtoday.ru/upload/1c/new_struct/deti/120225003/original/120225003_01.jpg;98, 110, 104, 116, 122;1390;:Спортивный костюм: Толстовка и брюки из качественного футера мягкая фактура плетения на изнаночной стороне эластичный пояс с кулиской позволяет легко надевать брюки и утягивать до комфортной посадки в зависимости от комплекции ребенка манжеты, нижняя кромка толстовки и брюк в эластичный рубчик удобный длинный пуллер защита подбородка при застегивании молнии защитная внутренняя трикотажная планка под молнией капюшон с утяжкой принт и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок в декоре лампасы 95% хлопок, 5% эластан
"120225004 Комплект трикотажный для девочек: толстовка, брюки -цвет синий;серый";;https://playtoday.ru/upload/1c/new_struct/deti/120225004/original/120225004_01.jpg;110, 122, 98, 116, 104;1530;:Комплект свитшот и брюки из качественного футера мягкая фактура плетения на изнаночной стороне эластичный пояс с кулиской позволяет легко надевать брюки и утягивать до комфортной посадки в зависимости от комплекции ребенка манжеты, нижняя кромка толстовки и брюк в эластичный рубчик принт и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок 60% хлопок, 38% полиэстер, 2% эластан
"120225005 Фуфайка трикотажная для девочек (футболка) -цвет белый;розовый";;https://playtoday.ru/upload/1c/new_struct/deti/120225005/original/120225005_1.jpg;98, 122, 104, 110, 116;375;:Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт с акцентными блестящими деталями foil и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок 95% хлопок, 5% эластан
120225006 Фуфайка трикотажная для девочек (футболка) -цвет темно-синий;;https://playtoday.ru/upload/1c/new_struct/deti/120225006/original/120225006_03.jpg;104, 116, 98, 110, 122;510;:Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт foil, блестки и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок Реверсивные двусторонние пайетки в декоре модели 90% хлопок, 10% эластан
"120225007 Фуфайка трикотажная для девочек (футболка) -цвет белый;розовый";;https://playtoday.ru/upload/1c/new_struct/deti/120225007/original/120225007_02.jpg;104, 122, 98, 116, 110;360;:Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт с акцентными блестящими деталями foil и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок 95% хлопок, 5% эластан
120225008 Фуфайка трикотажная для девочек (футболка) -цвет серый;;https://playtoday.ru/upload/1c/new_struct/deti/120225008/original/120225008_00.jpg;104, 122, 98, 116, 110;330;:Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт с блестками и Foil cохраняет первоначальный вид даже после многочисленных стирок 95% хлопок, 5% эластан
120225015 Носки трикотажные для девочек -цвет серый;;https://playtoday.ru/upload/1c/new_struct/deti/120225015/original/120225015_1.jpg;20, 18, 16;70;: 75% хлопок, 20% нейлон, 5% эластан
"120225016 Носки трикотажные для девочек -цвет белый;розовый";;https://playtoday.ru/upload/1c/new_struct/deti/120225016/original/120225016_1.jpg;20, 16, 18;70;: 75% хлопок, 20% нейлон, 5% эластан
120125001 Куртка текстильная для девочек -цвет серебристый;;https://playtoday.ru/upload/1c/new_struct/deti/120125001/original/120125001_01.jpg;134, 140, 128;1470;":Куртка из материала с ветро- и водоотталкивающим покрытием  утеплитель 150г/м2 подкладка трикотажная с высоким содержанием хлопка, гладкая из полиэстера в рукавах внутренняя ветрозащитная планка c дополнительной саржевой лентой для легкого застегивания молнии несъёмный капюшон с эластичной окантовкой  2 боковых кармана  эластичный кант по нижней кромке и рукавам Верх: 100% полиуретан; Подкладка: 60% хлопок, 40% полиэстер; Утеплитель: 100% полиэстер 150г/м2"
"120125002 Куртка текстильная для девочек (ветровка) -цвет черный;светло-розовый";;https://playtoday.ru/upload/1c/new_struct/deti/120125002/original/120125002_00.jpg;140, 134, 128, 152, 146;1195;":Ветровка PlayToday со следующими характеристиками: материал с ветро- и водоотталкивающим покрытием  подкладка трикотажная с высоким содержанием хлопка, гладкая из полиэстера в рукавах несъёмный капюшон c мягкой трикотажной подкладкой внутренняя ветрозащитная планка c дополнительной саржевой лентой для легкого застегивания молнии эластичная окантовка на манжетах и нижней кромке  2 боковых кармана  светоотражающие элементы для дополнительной безопасности в темное время суток Верх: 100% полиэстер; Подкладка: 60% полиэстер, 40% хлопок"
120125010 Бриджи трикотажные для девочек -цвет темно-синий;;https://playtoday.ru/upload/1c/new_struct/deti/120125010/original/120125010_00.jpg;128, 134, 140, 146, 152;320;:Леггинсы из качественного эластичного и приятного трикотажа принт с глиттером сохраняет первоначальный вид даже после многочисленных стирок 90% хлопок, 10% эластан
120125020 Куртка текстильная для девочек -цвет фуксия;;https://playtoday.ru/upload/1c/new_struct/deti/120125020/original/120125020_00.jpg;152, 128, 146, 140, 134;1700;":Куртка из ветронепроницаемого материала softshell мягкий и эластичный материал softshell дарит ощущение комфорта внутри мягкий флис удлиненные рукава с прорезью для пальца капюшон и манжеты с эластичной окантовкой светоотражающая молния и детали ветрозащитная планка защита подбородка при застегивании молнии Верх: 100% полиэстер; Подкладка: 100% полиэстер"
120125009 Брюки трикотажные для девочек (леггинсы) -цвет серый;;https://playtoday.ru/upload/1c/new_struct/deti/120125009/original/120125009_00.jpg;140, 134, 146, 152, 128;410;:Леггинсы из качественного эластичного и приятного трикотажа металлизированный принтсохраняет первоначальный вид даже после многочисленных стирок 95% хлопок, 5% эластан
"120125017 Брюки трикотажные для девочек (леггинсы) -цвет темно-синий;светло-розовый";;https://playtoday.ru/upload/1c/new_struct/deti/120125017/original/120125017_00.jpg;140, 146, 152, 134, 128;490;":Леггинсы с юбкой по талии резинка с тканым принтом функциональные карманы резиновый принт 90% хлопок, 10% эластан; отделка: 80% нейлон, 20% эластан"
120125011 Шорты трикотажные для девочек -цвет серый;;https://playtoday.ru/upload/1c/new_struct/deti/120125011/original/120125011_00.jpg;140, 146, 152, 128, 134;450;:Шорты из качественного футера  мягкая фактура плетения на изнаночной стороне эластичный пояс с кулиской позволяет легко надевать и утягивать до комфортной посадки в зависимости от комплекции ребенка цвет изделия сохраняет первоначальный вид даже после многочисленных стирок 60% хлопок, 38% полиэстер, 2% эластан
"120125003 Комплект трикотажный для девочек: толстовка, брюки -цвет светло-розовый;белый;темно-синий";;https://playtoday.ru/upload/1c/new_struct/deti/120125003/original/120125003_00.jpg;152, 134, 140, 128, 146;1450;:Спортивный костюм: Толстовка и брюки из качественного футера мягкая фактура плетения на изнаночной стороне эластичный пояс с кулиской позволяет легко надевать брюки и утягивать до комфортной посадки в зависимости от комплекции ребенка манжеты, нижняя кромка толстовки и брюк в эластичный рубчик удобный длинный пуллер защита подбородка при застегивании молнии защитная внутренняя трикотажная планка под молнией капюшон с утяжкой принт и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок в декоре лампасы 95% хлопок, 5% эластан
"120125004 Комплект трикотажный для девочек: толстовка, брюки -цвет синий;серый;розовый";;https://playtoday.ru/upload/1c/new_struct/deti/120125004/original/120125004_00.jpg;146, 140, 128, 134, 152;1680;:Комплект свитшот и брюки из качественного футера мягкая фактура плетения на изнаночной стороне эластичный пояс с кулиской позволяет легко надевать брюки и утягивать до комфортной посадки в зависимости от комплекции ребенка манжеты, нижняя кромка толстовки и брюк в эластичный рубчик принт и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок 60% хлопок, 38% полиэстер, 2% эластан
"120125005 Фуфайка трикотажная для девочек (футболка) -цвет белый;розовый";;https://playtoday.ru/upload/1c/new_struct/deti/120125005/original/120125005_00.jpg;152, 134, 128, 140, 146;440;:Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт с акцентными блестящими деталями foil и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок 95% хлопок, 5% эластан
120125006 Фуфайка трикотажная для девочек (футболка) -цвет темно-синий;;https://playtoday.ru/upload/1c/new_struct/deti/120125006/original/120125006_00.jpg;146, 140, 134, 152, 128;580;:Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт foil, блестки и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок Реверсивные двусторонние пайетки в декоре модели 90% хлопок, 10% эластан
"120125007 Фуфайка трикотажная для девочек (футболка) -цвет розовый;белый";;https://playtoday.ru/upload/1c/new_struct/deti/120125007/original/120125007_01.jpg;146, 152, 140, 128, 134;430;:Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт с акцентными блестящими деталями foil и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок 95% хлопок, 5% эластан
120125008 Фуфайка трикотажная для девочек (футболка) -цвет серый;;https://playtoday.ru/upload/1c/new_struct/deti/120125008/original/120125008_00.jpg;140, 134, 128, 152, 146;400;:Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт с блестками и Foil cохраняет первоначальный вид даже после многочисленных стирок 95% хлопок, 5% эластан
120125015 Носки трикотажные для девочек -цвет серый;;https://playtoday.ru/upload/1c/new_struct/deti/120125015/original/120125015_1.jpg;22, 24;78;: 75% хлопок, 20% нейлон, 5% эластан
"120125016 Носки трикотажные для девочек -цвет белый;светло-розовый";;https://playtoday.ru/upload/1c/new_struct/deti/120125016/original/120125016_1.jpg;22, 24;78;: 75% хлопок, 20% нейлон, 5% эластан
120227301 Куртка текстильная для девочек -цвет фуксия;;https://playtoday.ru/upload/1c/new_struct/deti/120227301/original/120227301_01.jpg;110, 98, 122, 104, 116;1360;":Куртка демисезонная PlayToday со следующими характеристиками: легкий вес материал с ветро- и водоотталкивающим покрытием  гладкая подкладка из полиэстера утеплитель 150г/м2 спереди функциональные карманы эластичные манжеты на рукавах  внутренняя ветрозащитная планка c дополнительной саржевой лентой для легкого застегивания молнии светоотражающие элементы для дополнительной безопасности в темное время суток декор: лента с камнями, оборка на спинке Верх: 100% нейлон; Подкладка: 100% полиэстер; Наполнитель: 100% полиэстер, 150 г/м2"
